[19:52:47] [main/INFO]: Loading Minecraft 1.20.2 with Fabric Loader 0.14.24
[19:52:47] [main/INFO]: Loading 3 mods:
	- fabricloader 0.14.24
	- java 17
	- minecraft 1.20.2
[19:52:47] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/C:/Users/milos/Desktop/server/clean-minecraft-server/libraries/net/fabricmc/sponge-mixin/0.12.5+mixin.0.8.5/sponge-mixin-0.12.5+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[19:52:53] [main/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[19:52:55] [main/INFO]: Loaded 7 recipes
[19:52:55] [main/INFO]: Loaded 1271 advancements
[19:52:56] [Server thread/INFO]: Starting minecraft server version 1.20.2
[19:52:56] [Server thread/INFO]: Loading properties
[19:52:56] [Server thread/INFO]: Default game type: SURVIVAL
[19:52:56] [Server thread/INFO]: Generating keypair
[19:52:56] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:52:56] [Server thread/INFO]: Using default channel type
[19:52:56] [Server thread/INFO]: Preparing level "world"
[19:52:59] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:53:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:53:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[19:53:00] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:53:01] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:53:01] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[19:53:02] [Worker-Main-9/INFO]: Preparing spawn area: 2%
[19:53:02] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[19:53:03] [Worker-Main-9/INFO]: Preparing spawn area: 5%
[19:53:03] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[19:53:04] [Worker-Main-9/INFO]: Preparing spawn area: 10%
[19:53:04] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[19:53:05] [Worker-Main-9/INFO]: Preparing spawn area: 15%
[19:53:05] [Worker-Main-8/INFO]: Preparing spawn area: 18%
[19:53:06] [Worker-Main-6/INFO]: Preparing spawn area: 21%
[19:53:06] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[19:53:07] [Worker-Main-10/INFO]: Preparing spawn area: 26%
[19:53:07] [Worker-Main-4/INFO]: Preparing spawn area: 29%
[19:53:08] [Worker-Main-10/INFO]: Preparing spawn area: 32%
[19:53:08] [Worker-Main-11/INFO]: Preparing spawn area: 34%
[19:53:09] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[19:53:09] [Worker-Main-8/INFO]: Preparing spawn area: 41%
[19:53:10] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[19:53:10] [Worker-Main-4/INFO]: Preparing spawn area: 46%
[19:53:11] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[19:53:11] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[19:53:12] [Worker-Main-7/INFO]: Preparing spawn area: 55%
[19:53:12] [Worker-Main-11/INFO]: Preparing spawn area: 58%
[19:53:13] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[19:53:13] [Worker-Main-8/INFO]: Preparing spawn area: 66%
[19:53:14] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[19:53:14] [Worker-Main-11/INFO]: Preparing spawn area: 71%
[19:53:15] [Worker-Main-9/INFO]: Preparing spawn area: 74%
[19:53:15] [Worker-Main-11/INFO]: Preparing spawn area: 79%
[19:53:16] [Worker-Main-9/INFO]: Preparing spawn area: 83%
[19:53:16] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[19:53:17] [Worker-Main-11/INFO]: Preparing spawn area: 88%
[19:53:17] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[19:53:18] [Worker-Main-10/INFO]: Preparing spawn area: 94%
[19:53:18] [Server thread/INFO]: Time elapsed: 19000 ms
[19:53:18] [Server thread/INFO]: Done (22.316s)! For help, type "help"
